ticket_id,requester_id,created_at,description,mrr,type,page,app_version,source,topic
NW-10018,cust_028,2026-05-20T15:22:00.000Z,The keyboard hides the amount field on my SE.,150,bug,/mobile/entry,4.10.0,shake,mobile-keyboard-overlap
NW-10019,cust_055,2026-05-21T09:34:00.000Z,I make a coffee while the home screen loads.,70,bug,/dashboard,4.10.0,support_inbox,dashboard-slow
NW-10020,cust_029,2026-05-22T07:38:00.000Z,Nothing explained what this wanted from me.,0,question,/onboarding,4.10.0,support_inbox,onboarding-confusing
NW-10021,cust_183,2026-05-22T08:52:00.000Z,Custom fields would let us stop keeping a parallel spreadsheet.,380,feature_request,/settings,4.10.0,support_inbox,custom-categories
NW-10022,cust_012,2026-05-22T11:39:00.000Z,Our security team will not approve another tool without single sign-on.,1920,feature_request,/settings/security,4.10.0,nub,sso-saml
NW-10023,cust_026,2026-05-23T07:40:00.000Z,The date picker saves the wrong day.,60,bug,/reports,4.10.0,support_inbox,timezone-wrong
NW-10024,cust_153,2026-05-23T09:41:00.000Z,Is there documentation on throttling behaviour anywhere?,130,question,/settings/api,4.10.0,support_inbox,api-rate-limits
NW-10025,cust_061,2026-05-24T13:29:00.000Z,The fixed taxonomy does not match how our business works.,70,feature_request,/settings,4.10.0,support_inbox,custom-categories
NW-10026,cust_068,2026-05-25T07:00:00.000Z,There is no way to search my data.,90,feature_request,/dashboard,4.10.0,nub,search-missing
NW-10027,cust_069,2026-05-25T07:11:00.000Z,Doing these one by one takes my entire Friday afternoon.,0,feature_request,/approvals,4.10.0,nub,bulk-approve
NW-10028,cust_002,2026-05-25T09:06:00.000Z,I use this at night and it lights up the whole room.,0,feature_request,/dashboard,4.10.0,api,dark-mode
NW-10029,cust_169,2026-05-25T11:07:00.000Z,"Let me select all and approve, that is all I want.",0,feature_request,/approvals,4.10.0,support_inbox,bulk-approve
NW-10030,cust_141,2026-05-25T14:30:00.000Z,Does this work without a connection?,0,feature_request,/mobile/entry,4.10.0,shake,offline-mode
NW-10031,cust_089,2026-05-26T10:59:00.000Z,Our security team will not approve another tool without single sign-on.,380,feature_request,/settings/security,4.10.0,support_inbox,sso-saml
NW-10032,cust_161,2026-05-26T11:23:00.000Z,The first-run experience left me staring at an empty screen.,0,question,/onboarding,4.10.0,support_inbox,onboarding-confusing
NW-10033,cust_162,2026-05-26T11:54:00.000Z,Support for local currencies when travelling would be huge.,30,feature_request,/settings,4.10.0,support_inbox,multi-currency
NW-10034,cust_074,2026-05-27T08:44:00.000Z,"Your support team is genuinely excellent, thank you.",0,praise,/dashboard,4.10.0,nub,praise-support
NW-10035,cust_163,2026-05-27T13:21:00.000Z,"I hit export and then wait, and wait, and eventually give up.",790,bug,/reports,4.10.0,nub,csv-export-timeout
NW-10036,cust_016,2026-05-28T07:51:00.000Z,We lost a day of events during a short outage on our side.,1480,bug,/settings/api,4.10.0,support_inbox,webhook-retries
NW-10037,cust_033,2026-05-28T09:13:00.000Z,"csv export is broken, I click download and nothing happens",2080,bug,/reports,4.10.0,support_inbox,csv-export-timeout
NW-10038,cust_144,2026-05-28T09:41:00.000Z,I have signed up and I genuinely do not know what to do next.,90,question,/onboarding,4.10.0,nub,onboarding-confusing
NW-10039,cust_087,2026-05-28T12:33:00.000Z,Each alert fires two or three times.,40,bug,/settings/notifications,4.10.0,support_inbox,duplicate-notifications
NW-10040,cust_141,2026-05-28T14:30:00.000Z,I have signed up and I genuinely do not know what to do next.,0,question,/onboarding,4.10.0,nub,onboarding-confusing
NW-10041,cust_131,2026-05-28T14:40:00.000Z,"Duplicate emails for a single event, every time.",190,bug,/settings/notifications,4.10.0,support_inbox,duplicate-notifications
NW-10042,cust_093,2026-05-28T14:53:00.000Z,Scheduled reports never arrive in my inbox.,0,bug,/reports,4.10.0,nub,scheduled-reports-missing
NW-10043,cust_024,2026-05-31T10:02:00.000Z,Offline support would help enormously for field staff.,0,feature_request,/mobile/entry,4.10.0,support_inbox,offline-mode
NW-10044,cust_085,2026-05-31T12:48:00.000Z,Does this work without a connection?,0,feature_request,/mobile/entry,4.10.0,support_inbox,offline-mode
NW-10045,cust_094,2026-05-31T17:03:00.000Z,My inbox has doubled and I have changed nothing.,170,bug,/settings/notifications,4.10.0,support_inbox,duplicate-notifications
NW-10046,cust_074,2026-05-31T17:27:00.000Z,Let admins edit the category dropdown.,0,feature_request,/settings,4.10.0,nub,custom-categories
NW-10047,cust_125,2026-06-01T16:19:00.000Z,The contrast is brutal after about 6pm.,150,feature_request,/dashboard,4.10.0,support_inbox,dark-mode
NW-10048,cust_019,2026-06-03T11:47:00.000Z,"dark mode, dark mode, dark mode. Please.",130,feature_request,/dashboard,4.10.0,support_inbox,dark-mode
NW-10049,cust_046,2026-06-04T14:49:00.000Z,The text recognition gets the date wrong on faded paper.,0,bug,/mobile/capture,4.10.0,support_inbox,ocr-accuracy
NW-10050,cust_061,2026-06-04T15:01:00.000Z,All my timestamps are showing in the wrong timezone.,70,bug,/reports,4.10.0,support_inbox,timezone-wrong
NW-10051,cust_133,2026-06-05T07:47:00.000Z,My inbox has doubled and I have changed nothing.,1660,bug,/settings/notifications,4.10.0,support_inbox,duplicate-notifications
NW-10052,cust_084,2026-06-05T14:26:00.000Z,Let admins edit the category dropdown.,70,feature_request,/settings,4.10.0,support_inbox,custom-categories
NW-10053,cust_125,2026-06-06T13:12:00.000Z,"Checking in on SAML SSO timing, procurement is waiting on us.",150,feature_request,/settings/security,4.10.0,support_inbox,sso-saml
NW-10054,cust_098,2026-06-06T15:04:00.000Z,Nothing explained what this wanted from me.,0,question,/onboarding,4.10.0,support_inbox,onboarding-confusing
NW-10055,cust_103,2026-06-06T16:05:00.000Z,"We need our own labels, not the built-in ones.",0,feature_request,/settings,4.10.0,support_inbox,custom-categories
NW-10056,cust_142,2026-06-06T16:10:00.000Z,A low-light option would make this so much more pleasant to live in.,320,feature_request,/dashboard,4.10.0,support_inbox,dark-mode
NW-10057,cust_110,2026-06-07T09:41:00.000Z,Does this work without a connection?,7430,feature_request,/mobile/entry,4.10.0,support_inbox,offline-mode
NW-10058,cust_011,2026-06-07T12:02:00.000Z,What are the rate limits on the public API?,260,question,/settings/api,4.10.0,nub,api-rate-limits
NW-10059,cust_006,2026-06-08T12:01:00.000Z,Clicking approve forty times in a row is painful.,1710,feature_request,/approvals,4.10.0,support_inbox,bulk-approve
NW-10060,cust_003,2026-06-09T07:47:00.000Z,My team stopped getting the weekly summary and nobody changed anything.,10230,bug,/reports,4.11.0,api,scheduled-reports-missing
NW-10061,cust_142,2026-06-09T11:19:00.000Z,The first-run experience left me staring at an empty screen.,320,question,/onboarding,4.10.0,nub,onboarding-confusing
NW-10062,cust_062,2026-06-09T11:58:00.000Z,Reports are attributing yesterday evening to today.,0,bug,/reports,4.10.0,nub,timezone-wrong
NW-10063,cust_051,2026-06-09T12:30:00.000Z,Sign in accepts my details then does nothing.,0,bug,/login,4.11.0,nub,login-loop
NW-10064,cust_104,2026-06-10T07:23:00.000Z,Let admins edit the category dropdown.,60,feature_request,/settings,4.11.0,nub,custom-categories
NW-10065,cust_021,2026-06-10T08:08:00.000Z,Export to CSV times out every single time on our larger workspaces.,280,bug,/reports,4.11.0,support_inbox,csv-export-timeout
NW-10066,cust_023,2026-06-10T11:38:00.000Z,"We need our own labels, not the built-in ones.",0,feature_request,/settings,4.11.0,support_inbox,custom-categories
NW-10067,cust_133,2026-06-10T16:29:00.000Z,Please make the classification list configurable.,1660,feature_request,/settings,4.11.0,support_inbox,custom-categories
NW-10068,cust_094,2026-06-11T09:09:00.000Z,Everything is offset by several hours from what actually happened.,170,bug,/reports,4.11.0,support_inbox,timezone-wrong
NW-10069,cust_055,2026-06-11T09:52:00.000Z,There is no way to search my data.,70,feature_request,/dashboard,4.11.0,support_inbox,search-missing
NW-10070,cust_023,2026-06-11T10:48:00.000Z,The file size cap is far too small for a modern camera.,0,bug,/mobile/capture,4.11.0,shake,attachment-size-limit
NW-10071,cust_143,2026-06-11T11:08:00.000Z,Character recognition is unreliable enough that I check every one.,750,bug,/mobile/capture,4.11.0,support_inbox,ocr-accuracy
NW-10072,cust_150,2026-06-11T13:30:00.000Z,Sign in accepts my details then does nothing.,60,bug,/login,4.11.0,nub,login-loop
NW-10073,cust_033,2026-06-11T17:31:00.000Z,Adding and removing seats by hand does not scale for us.,2080,feature_request,/settings/team,4.11.0,nub,scim-provisioning
NW-10074,cust_039,2026-06-12T07:34:00.000Z,Loading times have roughly tripled since the spring.,670,bug,/dashboard,4.11.0,support_inbox,dashboard-slow
NW-10075,cust_131,2026-06-12T08:05:00.000Z,I am colourblind and cannot tell two of the chart series apart.,190,bug,/dashboard,4.11.0,support_inbox,chart-colours-inaccessible
NW-10076,cust_144,2026-06-12T08:21:00.000Z,Everything hangs for ages before the charts appear.,90,bug,/dashboard,4.11.0,support_inbox,dashboard-slow
NW-10077,cust_047,2026-06-12T09:33:00.000Z,Reset my password and now I cannot get past the login screen.,30,bug,/login,4.11.0,support_inbox,login-loop
NW-10078,cust_131,2026-06-12T13:45:00.000Z,"Duplicate emails for a single event, every time.",190,bug,/settings/notifications,4.11.0,support_inbox,duplicate-notifications
NW-10079,cust_131,2026-06-12T14:48:00.000Z,We need SAML SSO before we can roll this out to the wider org.,190,feature_request,/settings/security,4.11.0,nub,sso-saml
NW-10080,cust_060,2026-06-13T11:56:00.000Z,Took me half an hour to work out the basic flow.,0,question,/onboarding,4.11.0,support_inbox,onboarding-confusing
NW-10081,cust_135,2026-06-13T12:12:00.000Z,Doing these one by one takes my entire Friday afternoon.,0,feature_request,/approvals,4.11.0,support_inbox,bulk-approve
NW-10082,cust_128,2026-06-13T14:55:00.000Z,"Let me select all and approve, that is all I want.",60,feature_request,/approvals,4.11.0,support_inbox,bulk-approve
NW-10083,cust_074,2026-06-13T14:59:00.000Z,Reset my password and now I cannot get past the login screen.,0,bug,/login,4.11.0,nub,login-loop
NW-10084,cust_016,2026-06-13T15:22:00.000Z,Cannot get into my account at all since yesterday.,1480,bug,/login,4.11.0,nub,login-loop
NW-10085,cust_166,2026-06-13T17:42:00.000Z,It reads the total as the wrong number about a third of the time.,0,bug,/mobile/capture,4.11.0,support_inbox,ocr-accuracy
NW-10086,cust_044,2026-06-14T17:06:00.000Z,Does this work without a connection?,0,feature_request,/mobile/entry,4.11.0,support_inbox,offline-mode
NW-10087,cust_151,2026-06-15T09:36:00.000Z,Sign in accepts my details then does nothing.,0,bug,/login,4.11.0,support_inbox,login-loop
NW-10088,cust_091,2026-06-15T15:39:00.000Z,I log in successfully and it immediately asks me to log in again.,0,bug,/login,4.11.0,nub,login-loop
NW-10089,cust_032,2026-06-15T16:10:00.000Z,Each alert fires two or three times.,0,bug,/settings/notifications,4.11.0,support_inbox,duplicate-notifications
NW-10090,cust_146,2026-06-15T17:10:00.000Z,Took me half an hour to work out the basic flow.,0,question,/onboarding,4.11.0,support_inbox,onboarding-confusing
NW-10091,cust_106,2026-06-16T07:36:00.000Z,The date picker saves the wrong day.,300,bug,/reports,4.11.0,support_inbox,timezone-wrong
NW-10092,cust_016,2026-06-16T13:02:00.000Z,I log in successfully and it immediately asks me to log in again.,1480,bug,/login,4.11.0,support_inbox,login-loop
NW-10093,cust_011,2026-06-16T14:08:00.000Z,The keyboard hides the amount field on my SE.,260,bug,/mobile/entry,4.11.0,shake,mobile-keyboard-overlap
NW-10094,cust_190,2026-06-16T14:44:00.000Z,Why is everything so white? It is blinding.,0,feature_request,/dashboard,4.11.0,nub,dark-mode
NW-10095,cust_142,2026-06-16T17:33:00.000Z,My team stopped getting the weekly summary and nobody changed anything.,320,bug,/reports,4.11.0,nub,scheduled-reports-missing
NW-10096,cust_003,2026-06-17T13:24:00.000Z,The session expires while I am still actively using it.,10230,bug,/login,4.11.0,support_inbox,session-timeout-short
NW-10097,cust_083,2026-06-17T16:50:00.000Z,Multi-select would save me hours every month.,1930,feature_request,/approvals,4.11.0,nub,bulk-approve
NW-10098,cust_033,2026-06-18T12:42:00.000Z,We operate in euros and have to convert by hand every month.,2080,feature_request,/settings,4.11.0,api,multi-currency
NW-10099,cust_012,2026-06-18T15:53:00.000Z,We cannot expand seats until login goes through our own provider.,1920,feature_request,/settings/security,4.11.0,support_inbox,sso-saml
NW-10100,cust_083,2026-06-18T16:18:00.000Z,Do you support SCIM for automatic user provisioning?,1930,feature_request,/settings/team,4.11.0,support_inbox,scim-provisioning
NW-10101,cust_015,2026-06-18T17:58:00.000Z,Exporting a quarter of data just hangs the tab.,160,bug,/reports,4.11.0,support_inbox,csv-export-timeout
NW-10102,cust_110,2026-06-19T10:47:00.000Z,My inbox has doubled and I have changed nothing.,7430,bug,/settings/notifications,4.11.0,nub,duplicate-notifications
NW-10103,cust_150,2026-06-19T12:05:00.000Z,I am getting two notifications for every approval request.,60,bug,/settings/notifications,4.11.0,support_inbox,duplicate-notifications
NW-10104,cust_091,2026-06-20T07:52:00.000Z,On mobile the form is covered up as soon as I tap it.,0,bug,/mobile/entry,4.11.0,shake,mobile-keyboard-overlap
NW-10105,cust_143,2026-06-20T11:59:00.000Z,Sign in accepts my details then does nothing.,750,bug,/login,4.11.0,support_inbox,login-loop
NW-10106,cust_137,2026-06-20T12:12:00.000Z,Performance has fallen off a cliff in the last month.,430,bug,/dashboard,4.11.0,api,dashboard-slow
NW-10107,cust_106,2026-06-20T13:32:00.000Z,I log in successfully and it immediately asks me to log in again.,300,bug,/login,4.11.0,support_inbox,login-loop
NW-10108,cust_105,2026-06-20T14:34:00.000Z,I set up a recurring report and it has never once sent.,1910,bug,/reports,4.11.0,nub,scheduled-reports-missing
NW-10109,cust_090,2026-06-20T16:01:00.000Z,"dark mode, dark mode, dark mode. Please.",0,feature_request,/dashboard,4.11.0,support_inbox,dark-mode
NW-10110,cust_132,2026-06-20T16:51:00.000Z,"dark mode, dark mode, dark mode. Please.",0,feature_request,/dashboard,4.11.0,support_inbox,dark-mode
NW-10111,cust_132,2026-06-21T07:14:00.000Z,Reset my password and now I cannot get past the login screen.,0,bug,/login,4.11.0,nub,login-loop
NW-10112,cust_043,2026-06-21T07:30:00.000Z,How many requests per minute are we allowed?,1240,question,/settings/api,4.11.0,support_inbox,api-rate-limits
NW-10113,cust_128,2026-06-21T10:26:00.000Z,I am getting two notifications for every approval request.,60,bug,/settings/notifications,4.11.0,support_inbox,duplicate-notifications
NW-10114,cust_083,2026-06-21T14:38:00.000Z,Performance has fallen off a cliff in the last month.,1930,bug,/dashboard,4.11.0,support_inbox,dashboard-slow
NW-10115,cust_003,2026-06-21T15:11:00.000Z,Adding and removing seats by hand does not scale for us.,10230,feature_request,/settings/team,4.11.0,support_inbox,scim-provisioning
NW-10116,cust_019,2026-06-21T17:16:00.000Z,"I get logged out constantly, several times a day.",130,bug,/login,4.11.0,support_inbox,session-timeout-short
NW-10117,cust_123,2026-06-22T09:18:00.000Z,Doing these one by one takes my entire Friday afternoon.,0,feature_request,/approvals,4.11.0,support_inbox,bulk-approve
NW-10118,cust_003,2026-06-22T11:15:00.000Z,Stuck in an endless authentication loop this morning.,10230,bug,/login,4.11.0,nub,login-loop
NW-10119,cust_155,2026-06-22T12:11:00.000Z,Why do I have to sign in again every hour?,100,bug,/login,4.11.0,support_inbox,session-timeout-short
NW-10120,cust_142,2026-06-22T12:23:00.000Z,I end up correcting the scanned values manually anyway.,320,bug,/mobile/capture,4.11.0,support_inbox,ocr-accuracy
NW-10121,cust_102,2026-06-22T12:37:00.000Z,We operate in euros and have to convert by hand every month.,100,feature_request,/settings,4.11.0,nub,multi-currency
NW-10122,cust_050,2026-06-22T13:51:00.000Z,I log in successfully and it immediately asks me to log in again.,1490,bug,/login,4.11.0,nub,login-loop
NW-10123,cust_073,2026-06-22T15:31:00.000Z,The file size cap is far too small for a modern camera.,0,bug,/mobile/capture,4.11.0,support_inbox,attachment-size-limit
NW-10124,cust_101,2026-06-22T16:02:00.000Z,Cannot get into my account at all since yesterday.,1420,bug,/login,4.11.0,support_inbox,login-loop
NW-10125,cust_081,2026-06-22T17:23:00.000Z,Please add checkboxes so I can handle a batch together.,50,feature_request,/approvals,4.11.0,support_inbox,bulk-approve
NW-10126,cust_101,2026-06-23T08:17:00.000Z,Nothing explained what this wanted from me.,1420,question,/onboarding,4.11.0,support_inbox,onboarding-confusing
NW-10127,cust_144,2026-06-23T12:21:00.000Z,I am colourblind and cannot tell two of the chart series apart.,90,bug,/dashboard,4.11.0,support_inbox,chart-colours-inaccessible
NW-10128,cust_144,2026-06-23T12:50:00.000Z,Everything is forced into dollars and our team is in three countries.,90,feature_request,/settings,4.11.0,support_inbox,multi-currency
NW-10129,cust_012,2026-06-23T15:36:00.000Z,On mobile the form is covered up as soon as I tap it.,1920,bug,/mobile/entry,4.11.0,support_inbox,mobile-keyboard-overlap
NW-10130,cust_007,2026-06-23T17:16:00.000Z,Let admins edit the category dropdown.,0,feature_request,/settings,4.11.0,support_inbox,custom-categories
NW-10131,cust_141,2026-06-23T17:33:00.000Z,"Dashboard loading slow, timing out on our office wifi.",0,bug,/dashboard,4.11.0,nub,dashboard-slow
NW-10132,cust_008,2026-06-24T09:31:00.000Z,Nothing explained what this wanted from me.,90,question,/onboarding,4.11.0,support_inbox,onboarding-confusing
NW-10133,cust_043,2026-06-24T11:56:00.000Z,Everything is forced into dollars and our team is in three countries.,1240,feature_request,/settings,4.11.0,nub,multi-currency
NW-10134,cust_084,2026-06-24T13:51:00.000Z,Scheduled reports never arrive in my inbox.,70,bug,/reports,4.11.0,nub,scheduled-reports-missing
NW-10135,cust_026,2026-06-24T16:02:00.000Z,I log in successfully and it immediately asks me to log in again.,60,bug,/login,4.11.0,support_inbox,login-loop
NW-10136,cust_046,2026-06-25T08:53:00.000Z,I log in successfully and it immediately asks me to log in again.,0,bug,/login,4.11.0,support_inbox,login-loop
NW-10137,cust_153,2026-06-26T07:36:00.000Z,Reports are attributing yesterday evening to today.,130,bug,/reports,4.11.2,support_inbox,timezone-wrong
NW-10138,cust_120,2026-06-26T08:02:00.000Z,There is no way to search my data.,80,feature_request,/dashboard,4.11.2,support_inbox,search-missing
NW-10139,cust_157,2026-06-26T12:22:00.000Z,Being kicked out mid-task and losing work is infuriating.,940,bug,/login,4.11.2,support_inbox,session-timeout-short
NW-10140,cust_006,2026-06-26T13:26:00.000Z,Everything is offset by several hours from what actually happened.,1710,bug,/reports,4.11.2,support_inbox,timezone-wrong
NW-10141,cust_113,2026-06-26T15:50:00.000Z,Everything is forced into dollars and our team is in three countries.,0,feature_request,/settings,4.11.2,support_inbox,multi-currency
NW-10142,cust_131,2026-06-26T17:14:00.000Z,Sign in accepts my details then does nothing.,190,bug,/login,4.11.2,support_inbox,login-loop
NW-10143,cust_105,2026-06-27T07:13:00.000Z,Why do I have to sign in again every hour?,1910,bug,/login,4.11.2,support_inbox,session-timeout-short
NW-10144,cust_184,2026-06-27T08:57:00.000Z,"dark mode, dark mode, dark mode. Please.",140,feature_request,/dashboard,4.11.2,support_inbox,dark-mode
NW-10145,cust_120,2026-06-27T10:55:00.000Z,Support for local currencies when travelling would be huge.,80,feature_request,/settings,4.11.2,support_inbox,multi-currency
NW-10146,cust_110,2026-06-27T13:19:00.000Z,Any chance of a darker theme?,7430,feature_request,/dashboard,4.11.2,nub,dark-mode
NW-10147,cust_023,2026-06-28T08:21:00.000Z,Whoever handled my ticket yesterday deserves a raise.,0,praise,/dashboard,4.11.2,support_inbox,praise-support
NW-10148,cust_127,2026-06-28T09:25:00.000Z,Downloading a report as a spreadsheet fails silently.,710,bug,/reports,4.11.2,support_inbox,csv-export-timeout
NW-10149,cust_042,2026-06-28T13:27:00.000Z,Cannot see what I am typing on a small screen.,0,bug,/mobile/entry,4.11.2,shake,mobile-keyboard-overlap
NW-10150,cust_067,2026-06-28T13:37:00.000Z,I end up correcting the scanned values manually anyway.,1510,bug,/mobile/capture,4.11.2,nub,ocr-accuracy
NW-10151,cust_101,2026-06-28T14:49:00.000Z,Stuck in an endless authentication loop this morning.,1420,bug,/login,4.11.2,support_inbox,login-loop
NW-10152,cust_106,2026-06-28T16:01:00.000Z,SOC 2 requires we can produce an activity trail.,300,feature_request,/settings/security,4.11.2,nub,audit-log
NW-10153,cust_182,2026-06-28T17:00:00.000Z,Could the interface respect my system appearance setting?,0,feature_request,/dashboard,4.11.2,nub,dark-mode
NW-10154,cust_037,2026-06-29T07:32:00.000Z,Took me half an hour to work out the basic flow.,70,question,/onboarding,4.11.2,nub,onboarding-confusing
NW-10155,cust_165,2026-06-29T09:52:00.000Z,My inbox has doubled and I have changed nothing.,0,bug,/settings/notifications,4.11.2,support_inbox,duplicate-notifications
NW-10156,cust_075,2026-06-29T13:27:00.000Z,Directory sync would save our IT team a lot of tickets.,90,feature_request,/settings/team,4.11.2,support_inbox,scim-provisioning
NW-10157,cust_144,2026-06-29T14:10:00.000Z,Takes about fifteen seconds before I can see anything.,90,bug,/dashboard,4.11.2,support_inbox,dashboard-slow
NW-10158,cust_052,2026-06-30T08:18:00.000Z,My inbox has doubled and I have changed nothing.,60,bug,/settings/notifications,4.11.2,support_inbox,duplicate-notifications
NW-10159,cust_111,2026-06-30T15:03:00.000Z,"dark mode, dark mode, dark mode. Please.",60,feature_request,/dashboard,4.11.2,support_inbox,dark-mode
NW-10160,cust_102,2026-07-01T15:55:00.000Z,"I hit export and then wait, and wait, and eventually give up.",100,bug,/reports,4.11.2,support_inbox,csv-export-timeout
NW-10161,cust_059,2026-07-02T10:10:00.000Z,Doing these one by one takes my entire Friday afternoon.,0,feature_request,/approvals,4.11.2,nub,bulk-approve
NW-10162,cust_061,2026-07-03T07:03:00.000Z,Offline support would help enormously for field staff.,70,feature_request,/mobile/entry,4.11.2,support_inbox,offline-mode
NW-10163,cust_063,2026-07-03T16:27:00.000Z,"dark mode, dark mode, dark mode. Please.",1510,feature_request,/dashboard,4.11.2,support_inbox,dark-mode
NW-10164,cust_003,2026-07-03T16:42:00.000Z,The first page after login is painfully sluggish.,10230,bug,/dashboard,4.11.2,nub,dashboard-slow
NW-10165,cust_042,2026-07-04T07:11:00.000Z,A low-light option would make this so much more pleasant to live in.,0,feature_request,/dashboard,4.11.2,support_inbox,dark-mode
NW-10166,cust_076,2026-07-04T07:48:00.000Z,"dark mode, dark mode, dark mode. Please.",0,feature_request,/dashboard,4.11.2,support_inbox,dark-mode
NW-10167,cust_136,2026-07-04T08:19:00.000Z,Please add checkboxes so I can handle a batch together.,170,feature_request,/approvals,4.11.2,support_inbox,bulk-approve
NW-10168,cust_105,2026-07-04T17:40:00.000Z,"The dashboard is so slow to load now, it used to be instant.",1910,bug,/dashboard,4.11.2,support_inbox,dashboard-slow
NW-10169,cust_109,2026-07-05T13:13:00.000Z,Please make the classification list configurable.,80,feature_request,/settings,4.11.2,support_inbox,custom-categories
NW-10170,cust_180,2026-07-06T09:12:00.000Z,Every other tool we use has a night theme now.,50,feature_request,/dashboard,4.11.2,support_inbox,dark-mode
NW-10171,cust_074,2026-07-06T10:13:00.000Z,It reads the total as the wrong number about a third of the time.,0,bug,/mobile/capture,4.11.2,shake,ocr-accuracy
NW-10172,cust_003,2026-07-06T11:19:00.000Z,Being kicked out mid-task and losing work is infuriating.,10230,bug,/login,4.11.2,support_inbox,session-timeout-short
NW-10173,cust_051,2026-07-06T11:33:00.000Z,Really happy with how quickly that got sorted.,0,praise,/dashboard,4.11.2,support_inbox,praise-support
NW-10174,cust_039,2026-07-08T10:36:00.000Z,Takes about fifteen seconds before I can see anything.,670,bug,/dashboard,4.11.2,support_inbox,dashboard-slow
NW-10175,cust_094,2026-07-09T14:16:00.000Z,The date picker saves the wrong day.,170,bug,/reports,4.11.2,nub,timezone-wrong
NW-10176,cust_110,2026-07-10T17:40:00.000Z,Please add a way to filter by keyword.,7430,feature_request,/dashboard,4.11.2,support_inbox,search-missing
NW-10177,cust_167,2026-07-10T17:44:00.000Z,Support for local currencies when travelling would be huge.,30,feature_request,/settings,4.11.2,support_inbox,multi-currency
NW-10178,cust_167,2026-07-11T09:59:00.000Z,Is there any record of administrative actions?,30,feature_request,/settings/security,4.11.2,support_inbox,audit-log
NW-10179,cust_106,2026-07-11T13:20:00.000Z,"Duplicate emails for a single event, every time.",300,bug,/settings/notifications,4.11.2,support_inbox,duplicate-notifications
NW-10180,cust_136,2026-07-11T17:47:00.000Z,Please add a way to filter by keyword.,170,feature_request,/dashboard,4.11.2,support_inbox,search-missing
NW-10181,cust_184,2026-07-12T12:21:00.000Z,"The dashboard is so slow to load now, it used to be instant.",140,bug,/dashboard,4.11.2,nub,dashboard-slow
NW-10182,cust_067,2026-07-12T12:46:00.000Z,Cannot see what I am typing on a small screen.,1510,bug,/mobile/entry,4.11.2,support_inbox,mobile-keyboard-overlap
NW-10183,cust_097,2026-07-12T17:00:00.000Z,Managing passwords for 200 people is not something we are willing to do.,6840,feature_request,/settings/security,4.11.2,nub,sso-saml
